Country,Age group,Gender,Occupation / Role,AI usage frequency,Tasks to automate,Tasks needing human oversight,AI makes routine tasks easier (1–5),Comfort with AI low-risk decisions (1–5),Worry about AI making sensitive decisions (1–5),Human judgment essential for creative tasks (1–5),Trust AI to act responsibly (1–5),What makes a task suitable for automation?,What makes a task unsuitable for automation?,Ever felt uncomfortable with AI?,What increases trust?,Country: general feeling about AI,AI reduces job opportunities?,Balance of human vs AI,One rule for AI
United Kingdom,26–35,Prefer not to say,Freelancer,Daily,Data analysis,Safety-critical tasks,5,4,4,2,5,Analytical tasks,High-risk tasks,No,Ethical guidelines,Negative,Not sure,Human supervision always,Assist only when asked
India,18–25,Prefer not to say,Working Professional,Weekly,Research,Safety-critical tasks,2,3,1,3,2,Analytical tasks,Sensitive personal data,No,Ethical guidelines,Negative,Yes,AI handles small tasks only,Assist only when asked
India,18–25,Prefer not to say,Freelancer,Occasionally,Research,Medical decisions,4,1,2,2,5,Analytical tasks,Sensitive personal data,No,Transparency,Negative,Not sure,Human final approval required,Protect privacy
Australia,Under 18,Female,Student,Occasionally,Repetitive work,Legal decisions,5,1,2,2,5,Data-heavy tasks,Sensitive personal data,Yes,Human oversight,Negative,No,Human supervision always,Be transparent
United Kingdom,36–50,Prefer not to say,Student,Occasionally,Research,Medical decisions,2,2,1,5,2,Analytical tasks,Sensitive personal data,Yes,Transparency,Curious but worried,Not sure,Human supervision always,Assist only when asked
Russia,36–50,Female,Unemployed,Weekly,Routine tasks,Medical decisions,2,3,2,4,5,Data-heavy tasks,Requires empathy,Yes,Transparency,Positive,No,Shared control,Assist only when asked
Australia,26–35,Male,Working Professional,Daily,Writing tasks,Safety-critical tasks,3,1,3,2,5,Low-risk tasks,High-risk tasks,Yes,Accuracy,Negative,Not sure,Human supervision always,Be transparent
Bangladesh,36–50,Male,Student,Occasionally,Repetitive work,Safety-critical tasks,3,3,3,3,2,Data-heavy tasks,Sensitive personal data,No,Human oversight,Cautious,Not sure,Human supervision always,Protect privacy
Bangladesh,36–50,Male,Student,Daily,Study help,Legal decisions,1,1,3,2,5,Repetitive work,Creative judgment,No,Human oversight,Curious but worried,Not sure,Shared control,Be transparent
USA,26–35,Female,Working Professional,Daily,Repetitive work,Emotional tasks,2,4,5,1,5,Repetitive work,Requires empathy,Yes,Transparency,Cautious,Not sure,Human final approval required,Protect privacy
Australia,26–35,Male,Unemployed,Daily,Study help,Emotional tasks,2,4,5,1,3,Analytical tasks,Requires empathy,Yes,Ethical guidelines,Cautious,Yes,Human supervision always,Assist only when asked
Australia,Under 18,Female,Unemployed,Daily,Research,Emotional tasks,3,3,2,2,5,Data-heavy tasks,Sensitive personal data,Yes,Transparency,Curious but worried,Yes,Human supervision always,Assist only when asked
Russia,36–50,Male,Working Professional,Weekly,Repetitive work,Safety-critical tasks,4,1,1,3,1,Low-risk tasks,Creative judgment,No,Human oversight,Cautious,No,AI handles small tasks only,Be transparent
USA,26–35,Prefer not to say,Student,Daily,Routine tasks,Medical decisions,3,4,1,1,5,Low-risk tasks,High-risk tasks,Yes,Training,Mixed,No,Shared control,Do not decide personal matters
USA,Under 18,Prefer not to say,Unemployed,Occasionally,Data analysis,Legal decisions,3,4,1,2,5,Low-risk tasks,Creative judgment,Yes,Training,Curious but worried,No,Shared control,Assist only when asked
United Kingdom,18–25,Female,Student,Weekly,Research,Legal decisions,1,2,3,5,5,Analytical tasks,Requires empathy,Yes,Training,Negative,Yes,Human supervision always,Be transparent
USA,18–25,Prefer not to say,Student,Daily,Repetitive work,Creative judgment,2,4,4,3,3,Repetitive work,Requires empathy,Yes,Training,Positive,No,AI handles small tasks only,Do not decide personal matters
Bangladesh,18–25,Male,Working Professional,Daily,Routine tasks,Emotional tasks,3,3,3,2,4,Data-heavy tasks,Creative judgment,Yes,Human oversight,Negative,Yes,Shared control,Protect privacy
Bangladesh,Under 18,Male,Freelancer,Daily,Data analysis,Emotional tasks,1,3,1,2,2,Repetitive work,Sensitive personal data,No,Training,Cautious,Yes,AI handles small tasks only,Be transparent
Australia,36–50,Prefer not to say,Unemployed,Daily,Research,Emotional tasks,1,1,4,3,4,Repetitive work,Requires empathy,No,Human oversight,Curious but worried,Not sure,Human supervision always,Be transparent
Australia,Under 18,Male,Student,Occasionally,Data analysis,Emotional tasks,3,2,1,3,4,Repetitive work,Requires empathy,No,Human oversight,Cautious,Yes,Shared control,Do not decide personal matters
Australia,18–25,Female,Freelancer,Weekly,Repetitive work,Medical decisions,4,2,1,1,2,Analytical tasks,Requires empathy,Yes,Transparency,Curious but worried,Not sure,AI handles small tasks only,Be transparent
USA,26–35,Prefer not to say,Student,Daily,Repetitive work,Creative judgment,4,2,1,1,3,Repetitive work,Sensitive personal data,Yes,Transparency,Negative,Yes,AI handles small tasks only,Protect privacy
India,26–35,Female,Student,Daily,Routine tasks,Emotional tasks,4,5,4,2,3,Low-risk tasks,Requires empathy,No,Ethical guidelines,Positive,Not sure,Shared control,Do not decide personal matters
Bangladesh,26–35,Prefer not to say,Freelancer,Occasionally,Repetitive work,Safety-critical tasks,5,2,4,2,3,Low-risk tasks,High-risk tasks,Yes,Transparency,Cautious,Yes,AI handles small tasks only,Protect privacy
Bangladesh,Under 18,Male,Unemployed,Occasionally,Research,Legal decisions,1,3,2,5,1,Repetitive work,High-risk tasks,Yes,Training,Negative,Yes,AI handles small tasks only,Be transparent
Russia,26–35,Prefer not to say,Unemployed,Daily,Writing tasks,Medical decisions,1,1,1,5,1,Analytical tasks,Sensitive personal data,Yes,Transparency,Curious but worried,Yes,Shared control,Do not decide personal matters
Australia,26–35,Male,Unemployed,Daily,Repetitive work,Legal decisions,5,2,2,3,1,Repetitive work,High-risk tasks,No,Human oversight,Curious but worried,Yes,Human final approval required,Protect privacy
Australia,Under 18,Male,Student,Weekly,Study help,Creative judgment,2,4,2,1,2,Repetitive work,Creative judgment,Yes,Accuracy,Curious but worried,No,Shared control,Do not decide personal matters
Russia,18–25,Prefer not to say,Student,Occasionally,Routine tasks,Legal decisions,2,5,5,4,4,Analytical tasks,Requires empathy,No,Accuracy,Negative,Not sure,AI handles small tasks only,Assist only when asked
Russia,36–50,Female,Unemployed,Daily,Repetitive work,Emotional tasks,5,5,2,4,5,Analytical tasks,Sensitive personal data,Yes,Ethical guidelines,Mixed,Yes,AI handles small tasks only,Be transparent
United Kingdom,36–50,Female,Freelancer,Occasionally,Research,Emotional tasks,5,3,2,3,2,Data-heavy tasks,Creative judgment,Yes,Training,Curious but worried,Not sure,AI handles small tasks only,Protect privacy
Australia,26–35,Male,Student,Daily,Repetitive work,Creative judgment,3,4,4,5,4,Repetitive work,Creative judgment,Yes,Transparency,Positive,Yes,Human supervision always,Assist only when asked
India,26–35,Prefer not to say,Student,Occasionally,Routine tasks,Creative judgment,2,3,1,2,3,Analytical tasks,High-risk tasks,No,Accuracy,Mixed,No,Human supervision always,Assist only when asked
Australia,Under 18,Female,Working Professional,Daily,Writing tasks,Emotional tasks,2,3,5,2,4,Low-risk tasks,Sensitive personal data,No,Accuracy,Mixed,Yes,AI handles small tasks only,Be transparent
Australia,Under 18,Male,Freelancer,Weekly,Repetitive work,Medical decisions,1,3,1,5,2,Repetitive work,Requires empathy,Yes,Human oversight,Mixed,Not sure,Shared control,Do not decide personal matters
Australia,36–50,Female,Working Professional,Weekly,Routine tasks,Safety-critical tasks,3,2,4,3,1,Analytical tasks,Creative judgment,Yes,Training,Mixed,No,Human supervision always,Be transparent
Bangladesh,18–25,Male,Working Professional,Weekly,Writing tasks,Safety-critical tasks,5,3,2,5,4,Repetitive work,Sensitive personal data,No,Ethical guidelines,Mixed,No,Human supervision always,Do not decide personal matters
Russia,36–50,Male,Freelancer,Occasionally,Study help,Medical decisions,1,1,1,4,1,Low-risk tasks,Sensitive personal data,Yes,Ethical guidelines,Mixed,Not sure,Shared control,Be transparent
Bangladesh,26–35,Male,Working Professional,Daily,Routine tasks,Creative judgment,1,1,3,5,3,Data-heavy tasks,High-risk tasks,Yes,Human oversight,Negative,No,Human supervision always,Protect privacy
USA,36–50,Prefer not to say,Freelancer,Occasionally,Writing tasks,Medical decisions,1,5,5,5,2,Data-heavy tasks,High-risk tasks,Yes,Transparency,Positive,No,Shared control,Assist only when asked
Russia,18–25,Prefer not to say,Freelancer,Occasionally,Data analysis,Legal decisions,5,2,3,3,4,Analytical tasks,Creative judgment,No,Ethical guidelines,Negative,No,Human final approval required,Protect privacy
Bangladesh,26–35,Male,Working Professional,Occasionally,Data analysis,Emotional tasks,2,5,5,4,4,Low-risk tasks,Requires empathy,Yes,Human oversight,Cautious,Not sure,AI handles small tasks only,Protect privacy
India,Under 18,Female,Working Professional,Daily,Data analysis,Emotional tasks,3,2,2,3,4,Repetitive work,Creative judgment,Yes,Ethical guidelines,Mixed,No,Human final approval required,Do not decide personal matters
United Kingdom,Under 18,Female,Student,Daily,Routine tasks,Emotional tasks,2,2,3,1,4,Analytical tasks,High-risk tasks,No,Human oversight,Curious but worried,Not sure,AI handles small tasks only,Do not decide personal matters
United Kingdom,18–25,Female,Unemployed,Weekly,Routine tasks,Safety-critical tasks,4,4,1,2,4,Analytical tasks,Creative judgment,Yes,Training,Cautious,Yes,Shared control,Assist only when asked
Bangladesh,36–50,Female,Student,Weekly,Research,Safety-critical tasks,3,1,1,5,2,Data-heavy tasks,Sensitive personal data,Yes,Human oversight,Positive,Not sure,Human final approval required,Do not decide personal matters
Russia,26–35,Female,Student,Occasionally,Research,Legal decisions,1,3,5,1,5,Repetitive work,High-risk tasks,No,Human oversight,Cautious,Not sure,Shared control,Protect privacy
Bangladesh,36–50,Prefer not to say,Student,Daily,Data analysis,Creative judgment,2,1,4,4,4,Low-risk tasks,Requires empathy,Yes,Training,Cautious,Not sure,Shared control,Assist only when asked
India,26–35,Prefer not to say,Student,Occasionally,Writing tasks,Creative judgment,1,5,4,5,2,Repetitive work,Requires empathy,Yes,Training,Positive,Yes,Shared control,Be transparent
Bangladesh ,18–25,Male,Student,Daily,"Things that are time consuming, finding stuff, learning new things.","Medical help , real life personal decisions.",4,4,5,5,3,"Data-driven or analytical tasks, Time-consuming administrative work",Has high risk or safety consequences,"An AI dependants on data it finds on the internet and not all of that information is accurate.It also doesn't know about your capabilities, you limit, or your personal self, so AI making decision on your behalf is likely to fail.","Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results","People are obsessed with it.
It has both good and bad effects.",Yes,AI should be a tool to push you skills to it's maximum limit. It should be like a helping hand in you work not something that destroys your skill and take over it.,It should not access my personal Data. 
Bangladesh,18–25,Male,Student,Weekly,Simple question and straight forward answers that google don't give ne,Anything that's need creative idea,3,4,5,5,4,Time-consuming administrative work,Has high risk or safety consequences,Trust issues obviously because it is just giving me the results without any authenticity ,Transparency (AI explains how it works),It's a blessing as long as you are aware of it ,No,"I don't know that's not my concern 
But I think a separate course on AI about Ai or a inside idea on AI might solve this",Set a limit I guess 
Bangladesh,18–25,Male,Student,Daily,Everything ,Critical decision making,5,4,5,5,3,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work, Tasks requiring no emotion or creativity","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",No,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines",People feel that ai would take their job but in our country as progress is very slow I believe it would take very time to do so,Not sure,By using ai to do tasks that result if mistaken won't do much of a difference. and if ai to do big task then required observation,Create a schedule and remind me what task i have left 
United Kingdom ,18–25,Male,Student,Occasionally,Research ,Creativity,3,4,5,5,1,"Data-driven or analytical tasks, Time-consuming administrative work",Involves sensitive/personal information,No,Accuracy and reliability of results,Confident,Yes,Giving both of them same priority,Supportive 
Student ,18–25,Female,Student,Daily, economics & sometimes statistics ,No answer ,3,4,3,4,5,Data-driven or analytical tasks,Has high risk or safety consequences,Yes (please describe briefly in Others),"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines, Familiarity and training",No answer,Not sure,No answer ,It should be free for all student 
Bangladesh,18–25,Male,Student,Daily,Graphic design,Life related,4,4,2,3,4,Data-driven or analytical tasks,"Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",No,"Accuracy and reliability of results, Legal or ethical guidelines",It's helpful,Yes,AI should just be a helping tool nothing more,Information
Russia,18–25,Male,Working Professional,Daily,Everything. Let the shit cook for me,"In the future, nothing. Currently, everything.",4,4,3,3,2,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work, Tasks requiring no emotion or creativity","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences",Yes (please describe briefly in Others),"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines",Mostly Positive.,Yes,AI should not have an autonomy but ASI cannot be controlled by humans.,"whatever rule i need in the situation i am in. If it's LLM then i can just ask the buddy to follow the rule. The only exception is, probably, not to deceive but it is not possible for LLM to follow."
United Kingdom ,18–25,Female,Working Professional,Daily,Calvulation and Error cecking,Emotional and creative,4,3,4,4,4,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work","Has high risk or safety consequences, Needs creativity or intuition",No,"Transparency (AI explains how it works), Accuracy and reliability of results","They think ai replacing people,which is a great concern.",Yes,both integration ,remind my work
Bangladesh ,18–25,Male,Student,Daily,Study ,AI,5,5,5,5,5,Tasks requiring no emotion or creativity,Has high risk or safety consequences,Yes (please describe briefly in Others),Transparency (AI explains how it works),Good,Yes,Like water,To be good
Bangladesh ,18–25,Male,Student,Daily,Tutoring and study,Personal decisions ,3,4,5,5,1,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work",Requires empathy or emotional understanding,Yes (please describe briefly in Others),"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines, Familiarity and training","Some thinks of it as useless, some are scared and some is obsessed with it.",No,"Instead of firing Employees , employees should learn the use of ai, with the combination of both human and ai, the work will be efficient and fast like hell.","Do whatever you want , just stop collecting my data."
India ,26–35,Prefer not to say,Student,Weekly,Writing essays ,Medical practice ,3,3,5,5,1,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work","Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",No,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines, Familiarity and training",They treat it like their ex gf,Yes,By learning ai,It should give me the answer to my question straight and stol feeding me garbage.
Bangladesh,18–25,Male,Student,Occasionally,Writing practical notebooks,Data observation,4,3,5,5,5,"Time-consuming administrative work, Practical notebook writing(as a bauian agri-64 I need that)","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",Yes (please describe briefly in Others),"Accuracy and reliability of results, Legal or ethical guidelines",No idea,Not sure,More knowledge on how the ai algorithm works. ,Do whatever I tell it to do as an obedient servent
🙂😀 nothing ,Under 18,Female,Student,Daily,Yes,Nothing ,3,3,3,3,3,Time-consuming administrative work,"Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences",Yes (please describe briefly in Others),Human oversight or approval options,Because ai onek vlo😀,Yes,😐janinnaaaa,🙂
Bangladesh ,18–25,Male,Student,Daily,Yes,AI and Automation supervision ,5,5,5,5,5,Data-driven or analytical tasks,Requires empathy or emotional understanding,Something the output of AI feel uncomfortable ,Accuracy and reliability of results,"Ambivalent 

It means having both positive and negative feelings at the same time.",Not sure,"AI should handle simple tasks, but humans must stay in control of important decisions to keep things safe and fair.",It should be controlled by human
Fahim,18–25,Male,Student,Daily,"The things that i feel important 
",I don't know ,4,3,3,3,3,Time-consuming administrative work,Needs creativity or intuition,No,Human oversight or approval options,I don't know ,Not sure,I don't know ,I don't know 
Bangladesh ,18–25,Male,Student,Occasionally,None,Answering human base ,1,3,3,2,1,"Data-driven or analytical tasks, Time-consuming administrative work","Requires empathy or emotional understanding, Needs creativity or intuition",No,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results",I don't know ,Not sure,We should no be depend on ai,Manage my schedule
"Australia,  USA",18–25,Female,Student,Daily,Study Overview ,"Tasks involving ethical judgments, emotional understanding, and complex social decisions should always involve human oversight.
Also, critical responsibilities like healthcare, legal decisions, and safety-sensitive operations must remain under human control.
",4,3,4,5,3,Routine or repetitive work,Has high risk or safety consequences,Yes (please describe briefly in Others),Accuracy and reliability of results,"In my context, people generally feel curious but cautious,  welcoming AI’s benefits while worrying about job security and ethical risks.
",Yes,"Human control should guide all high-risk or value-based decisions, while AI handles routine, data-heavy tasks.
A clear system of human oversight, transparency, and final approval keeps the balance safe and effective.
","I’d set a rule that AI must always be transparent about how it makes decisions.
And it should assist, not replace, human judgment in any important part of daily life.
"
zugak(Kepler22b),Above 60,Male,Working Professional,Daily,Zap zap zap zap👽,Bluh bluh bluh 👽,5,4,5,5,5,"Routine or repetitive work, Time-consuming administrative work, Xapbluph👽","Involves sensitive/personal information, ",Yes (please describe briefly in Others),"Transparency (AI explains how it works), Accuracy and reliability of results, Legal or ethical guidelines",🤖👽,Yes,💣🤖💥=😎👽,...
Bangladesh ,18–25,Male,Student,Weekly,Repetitive labour heavy  task,Task affecting human safety directly ,4,4,4,4,1,Routine or repetitive work,Requires empathy or emotional understanding,No,Legal or ethical guidelines,Negatively,Yes,"Human oversight over AI is always better, strong legal & ethical guideline for AI companies.",Not to take any new decision 
Bangladesh ,18–25,Male,Student,Occasionally,Exam preparation ,Morality ,5,4,5,5,4,Routine or repetitive work,Has high risk or safety consequences,Data unsafety,Accuracy and reliability of results,Not more conscious ,Yes,Human involvement in the 4IR,Very helpful 
Bangladesh ,18–25,Male,Student,Daily,May be all,To make decision about my self,4,3,4,5,4,"Routine or repetitive work, Time-consuming administrative work",Needs creativity or intuition,No,"Transparency (AI explains how it works), Familiarity and training",Normal also fear,Yes,Nije nijeo dicision make kora,Amar kach theke task clear kore nibe
Bangladesh ,18–25,Male,Student,Daily,Taking exam preparation and those where solution are quickly need .,"In Those work where emotion , love , creativity , team work , sensitive situation and subject....... etc. are need .. ",5,4,3,5,5,"Routine or repetitive work, Data-driven or analytical tasks, Making any tech application or project easily . ","Requires empathy or emotional understanding, Involves sensitive/personal information, Needs creativity or intuition",Slightly feel uncomfortable as sometime they give and make wrong application and solution specially during picture analysis and find out necessary information and output from it . Besides AI is not much suitable for other language ( Example - Bangla ) without English . When anyone use it for much time then they become shut down and not responsing . Sometime they become pause automatically during giving solution . Some people use it for generating fake video and picture . Some people specially some teacher and student use it for copying or plagiarism instead of using own creativity .,"Transparency (AI explains how it works), Accuracy and reliability of results, Familiarity and training, Give proper solution after giving proper prompt and clear picture and video . ","According to their opinion , they feel good and get better performance than other platform .",Not sure,"Human should use AI for necessary work , not everywhere specially for those work where emotion , creativity , love , sensitive situation .... etc. Besides , AI should be re-build in such a way that it never be harmful for human brain and mind . Besides plagiarism system and making fake video-picture system from AI and massive use of AI without necessary should be remove by it's builder and operator . ","Add a system in AI where human cannot use it for plagiarism and un-necessary use which destroy human brain and harmful for human mind specially for love , emotion , sensitive decision ......... etc. . "
