Country,Age group,Gender,Occupation / Role,AI usage frequency,Tasks to automate,Tasks needing human oversight,AI makes routine tasks easier (1‚Äì5),Comfort with AI low-risk decisions (1‚Äì5),Worry about AI making sensitive decisions (1‚Äì5),Human judgment essential for creative tasks (1‚Äì5),Trust AI to act responsibly (1‚Äì5),What makes a task suitable for automation?,What makes a task unsuitable for automation?,Ever felt uncomfortable with AI?,What increases trust?,Country: general feeling about AI,AI reduces job opportunities?,Balance of human vs AI,One rule for AI
Bangladesh,26–35,Female,Student,Occasionally,Data analysis; Routine tasks,Medical help,4,3,4,4,5,Data-driven or analytical tasks,Creative judgment,No,Training,Ambivalent,Not sure,Both integration,Do not decide personal matters
Middle Eastern,Under 18,Male,Working Professional,Occasionally,Exam preparation,Hiring decisions,4,4,4,4,5,Time-consuming administrative work,Creative judgment,No,Ethical guidelines,Ambivalent,No,Both integration,Human supervision always
Australia,36–50,Male,Working Professional,Occasionally,Research,Ethical judgments; Creative judgment,3,3,4,5,2,Data-heavy tasks,Requires empathy,Yes,Human oversight,Cautious,Not sure,AI handles small tasks only,Be transparent
United Kingdom,Under 18,Female,Teacher,Occasionally,Drafting emails or reports,Medical decisions; Personal decisions,5,3,5,3,1,Low-risk tasks,Involves sensitive/personal information,Yes,Familiarity and training,Mixed,Yes,Human final approval required,Assist only when asked
USA,18–25,Female,Working Professional,Daily,Tutoring and study; Exam preparation,Ethical judgments; Hiring decisions,4,2,2,5,2,Repetitive work,Needs creativity or intuition,No,Ethical guidelines,Negative,Not sure,Shared control,Human final approval required
India,18–25,Male,Other,Daily,Writing tasks,Emotional tasks,5,3,2,4,4,Low-risk tasks,Creative judgment,Yes,Human oversight or approval options,Positive,Not sure,Shared control,Always explain decisions
Russia,26–35,Female,Freelancer,Weekly,Graphic design,Safety-critical tasks,5,4,3,4,2,Data-heavy tasks,Sensitive personal data,No,Human oversight,Ambivalent,No,Shared control,Do not decide personal matters
Other,Under 18,Female,Student,Weekly,Exam preparation; Repetitive work,Medical decisions,5,1,3,5,4,Low-risk tasks,Requires empathy,Yes,Human oversight or approval options,Positive,No,Shared control,Human final approval required
Other,26–35,Male,Student,Daily,Tutoring and study,Emotional tasks,4,2,5,4,1,Low-risk tasks,Creative judgment,Yes,Clear explanations,Negative,No,Shared control,Human supervision always
Other,Under 18,Male,Student,Daily,Tutoring and study,Safety-critical tasks; Hiring decisions,4,3,5,5,5,Data-driven or analytical tasks,Sensitive personal data,No,Human oversight,Cautious,Yes,AI handles small tasks only,Protect privacy
United Kingdom,Under 18,Prefer not to say,Student,Daily,Drafting emails or reports; Calculation and error checking,Emotional tasks,4,3,4,5,4,Analytical tasks,Involves sensitive/personal information,No,Transparency,Cautious,Yes,Shared control,Be transparent
India,Under 18,Prefer not to say,Freelancer,Daily,Repetitive work; Study help; summarizing articles,Human rights,2,2,4,4,3,Repetitive work,High-risk tasks,No,Familiarity and training,Mixed,Yes,Human supervision always,Never act without human approval on high-risk tasks
Russia,Under 18,Male,Unemployed,Daily,Graphic design; simple edits; Drafting emails or reports,High-stakes financial decisions,5,4,5,5,3,Data-heavy tasks,"Involves sensitive/personal information, Needs creativity or intuition",No,Transparency (AI explains how it works),Not sure,Yes,Shared control,Protect privacy
USA,26–35,Female,Working Professional,Weekly,Study help; summarizing articles; Graphic design; simple edits,Personal decisions,4,4,1,4,3,"Clear rule-based tasks, Data-heavy tasks",Requires empathy or emotional understanding,No,Legal or ethical guidelines,Mixed,Yes,Human supervision always,Always explain decisions
Middle Eastern,36–50,Male,Freelancer,Daily,Problem solving; basic research; Data entry; calculation and error checking,Creative judgment,4,3,4,3,3,Repetitive work,Has high risk or safety consequences,No,Familiarity and training,Positive,No,Both integration,Always explain decisions
Bangladesh,Under 18,Prefer not to say,Office Staff,Weekly,Data analysis; simple charts,Personal decisions,5,3,2,2,1,Low-risk tasks,Involves sensitive/personal information,No,Independent audits and certifications,Ambivalent,Not sure,Human final approval required,Do not hallucinate
Bangladesh,Above 60,Female,Unemployed,Daily,Exam preparation; flashcards,Legal decisions,5,5,5,3,1,Routine or repetitive work,High-risk tasks,Yes,Clear explanations,Cautious,Not sure,Human supervision always,Do not decide personal matters
United Kingdom,26–35,Female,Teacher,Weekly,Exam preparation; flashcards,Decisions about children; Legal decisions,4,3,1,2,3,Repetitive work,"Requires deep context about a person's life, Needs creativity or intuition",No,Clear explanations,Cautious,Yes,Human final approval required,Do not hallucinate
Other,36–50,Male,Student,Daily,Scheduling; reminders; Graphic design; simple edits,Mental health support,4,3,3,5,4,"Routine or repetitive work, Time-consuming administrative work",High-risk tasks,No,Human oversight or approval options,Mixed,No,Human supervision always,Do not collect unnecessary personal data
India,Under 18,Prefer not to say,Office Staff,Weekly,Study help; summarizing articles,Medical decisions,5,5,5,2,3,"Tasks requiring no emotion or creativity, Simple calculations and checks",Creative judgment,No,Human oversight or approval options,Negative,No,Human supervision always,Be transparent
Bangladesh,Under 18,Prefer not to say,Unemployed,Daily,Exam preparation; flashcards; Study help; summarizing articles,Hiring decisions; Decisions about children,5,2,5,1,2,Time-consuming administrative work,Requires empathy or emotional understanding,No,Clear explanations,Curious but worried,Not sure,Human final approval required,Do not decide personal matters
United Kingdom,26–35,Female,Working Professional,Weekly,Exam preparation; flashcards,Legal decisions,3,3,4,1,3,"Clear rule-based tasks, Data-heavy tasks",Involves sensitive/personal information,No,Accuracy and reliability of results,Negative,No,Human final approval required,Never act without human approval on high-risk tasks
Bangladesh,Above 60,Female,Teacher,Daily,Drafting emails or reports,Mental health support,5,3,5,5,2,Data-driven or analytical tasks,Creative judgment,Yes,Transparency (AI explains how it works),Ambivalent,No,AI handles small tasks only,Be transparent
Australia,18–25,Prefer not to say,Unemployed,Daily,Code generation; debugging hints; Problem solving; basic research,Decisions about children,4,1,1,5,5,"Tasks requiring no emotion or creativity, Data-driven or analytical tasks",Requires deep context about a person's life,Yes,Accuracy and reliability of results,Negative,Not sure,Human supervision always,Never act without human approval on high-risk tasks
USA,18–25,Male,Other,Weekly,Writing outlines; idea generation,Mental health support,5,1,4,3,5,"Data-driven or analytical tasks, Routine or repetitive work",Needs cultural understanding,No,Human oversight or approval options,Negative,No,AI handles small tasks only,Do not decide personal matters
Middle Eastern,26–35,Female,Other,Daily,Problem solving; basic research,Legal decisions,5,3,3,4,4,Data-driven or analytical tasks,"Requires empathy or emotional understanding, Needs cultural understanding",No,Clear explanations,Not sure,No,Both integration,Always explain decisions
United Kingdom,26–35,Male,Teacher,Daily,Study help; summarizing articles,Legal decisions,4,4,4,5,4,Data-heavy tasks,Involves sensitive/personal information,No,Familiarity and training,Mixed,Not sure,Both integration,Do not decide personal matters
Middle Eastern,36–50,Prefer not to say,Teacher,Occasionally,Graphic design; simple edits,Decisions about children,4,3,3,1,2,Simple calculations and checks,Needs creativity or intuition,Yes,Clear explanations,Positive,No,Human final approval required,Never act without human approval on high-risk tasks
Australia,18–25,Male,Working Professional,Daily,Scheduling; reminders,Mental health support,3,3,5,1,3,Simple calculations and checks,Has high risk or safety consequences,Yes,Independent audits and certifications,Not sure,Yes,Both integration,Do not hallucinate
United Kingdom,Under 18,Female,Working Professional,Weekly,Exam preparation; flashcards,Creative judgment,4,5,4,5,5,Clear rule-based tasks,Has high risk or safety consequences,No,Legal or ethical guidelines,Mixed,Yes,Assist only when asked,Do not decide personal matters
Other,Under 18,Prefer not to say,Freelancer,Daily,Data entry; calculation and error checking,Legal decisions,3,5,1,2,3,Data-heavy tasks,Needs cultural understanding,No,Independent audits and certifications,Curious but worried,Not sure,Shared control,Do not collect unnecessary personal data
Australia,36–50,Female,Office Staff,Weekly,Repetitive work,High-stakes financial decisions,4,4,2,2,3,Tasks requiring no emotion or creativity,Involves sensitive personal data,Yes,Legal or ethical guidelines,Curious but worried,Not sure,Assist only when asked,Be transparent
USA,Under 18,Female,Unemployed,Daily,Graphic design; simple edits; Routine tasks; organizing notes,Emotional tasks; Creative judgment,4,3,5,3,5,Repetitive work,"Requires deep context about a person's life, Involves sensitive/personal information",Yes,Independent audits and certifications,Positive,Yes,Human supervision always,Do not collect unnecessary personal data
Other,Under 18,Prefer not to say,Working Professional,Daily,Writing outlines; idea generation,Personal decisions; Medical decisions,3,3,4,5,4,Data-driven or analytical tasks,Needs cultural understanding,Yes,Transparency (AI explains how it works),Curious but worried,Not sure,Assist only when asked,Do not hallucinate
India,Above 60,Male,Freelancer,Daily,Tutoring and study; practice questions; Problem solving; basic research,High-stakes financial decisions,4,1,4,1,3,Simple calculations and checks,"Needs cultural understanding, High-risk tasks",No,Familiarity and training,Not sure,Not sure,Both integration,Protect privacy
India,26–35,Female,Working Professional,Weekly,Tutoring and study; practice questions; Writing outlines; idea generation,Personal decisions,4,4,3,4,3,Data-driven or analytical tasks,High-risk tasks,Yes,Human oversight or approval options,Ambivalent,No,Both integration,Always explain decisions
Other,Under 18,Male,Freelancer,Daily,Graphic design; simple edits,Creative judgment,4,3,4,4,3,"Simple calculations and checks, Data-driven or analytical tasks",Needs creativity or intuition,No,Transparency (AI explains how it works),Ambivalent,Not sure,Assist only when asked,Do not hallucinate
Australia,Under 18,Male,Freelancer,Daily,Code generation; debugging hints; Data entry; calculation and error checking,High-stakes financial decisions,3,1,3,3,5,"Simple calculations and checks, Repetitive work",Creative judgment,No,Accuracy and reliability of results,Negative,Yes,AI handles small tasks only,Do not collect unnecessary personal data
Other,Under 18,Prefer not to say,Teacher,Weekly,Code generation; debugging hints,Decisions about children,3,4,5,1,2,Time-consuming administrative work,Needs cultural understanding,No,Accuracy and reliability of results,Not sure,Not sure,Both integration,Do not decide personal matters
United Kingdom,18–25,Female,Teacher,Daily,Tutoring and study; practice questions; Study help; summarizing articles,Personal decisions,3,4,2,3,4,"Simple calculations and checks, Time-consuming administrative work",Creative judgment,Yes,Legal or ethical guidelines,Positive,Not sure,Human supervision always,Never act without human approval on high-risk tasks
Bangladesh,18–25,Female,Office Staff,Weekly,Drafting emails or reports,Emotional tasks,4,3,1,4,4,Repetitive work,Requires deep context about a person's life,Yes,Transparency (AI explains how it works),Negative,Not sure,Human final approval required,Always explain decisions
Other,Above 60,Prefer not to say,Unemployed,Occasionally,Problem solving; basic research,Safety-critical tasks,3,4,4,4,1,Low-risk tasks,"Involves sensitive personal data, Needs cultural understanding",Yes,Legal or ethical guidelines,Positive,No,AI handles small tasks only,Do not decide personal matters
Other,36–50,Male,Working Professional,Daily,Data entry; calculation and error checking,Emotional tasks,4,3,3,1,2,"Simple calculations and checks, Time-consuming administrative work",Has high risk or safety consequences,Yes,Familiarity and training,Cautious,Yes,Human supervision always,Do not collect unnecessary personal data
USA,36–50,Prefer not to say,Freelancer,Daily,Graphic design; simple edits; Exam preparation; flashcards,Creative judgment,3,4,5,2,3,Low-risk tasks,Creative judgment,No,Accuracy and reliability of results,Not sure,Not sure,AI handles small tasks only,Do not collect unnecessary personal data
Other,18–25,Female,Office Staff,Daily,Data analysis; simple charts; Graphic design; simple edits,Human rights,3,4,3,5,5,"Tasks requiring no emotion or creativity, Simple calculations and checks",Needs cultural understanding,Yes,Legal or ethical guidelines,Positive,Yes,Human final approval required,Always explain decisions
India,Above 60,Female,Student,Weekly,Problem solving; basic research,Hiring decisions,4,4,2,4,5,Data-heavy tasks,High-risk tasks,No,Clear explanations,Ambivalent,No,Human final approval required,Be transparent
Australia,18–25,Prefer not to say,Student,Daily,Repetitive work; Writing outlines; idea generation,Medical decisions,2,4,5,3,4,Data-heavy tasks,Needs creativity or intuition,Yes,Human oversight or approval options,Negative,Yes,Human final approval required,Do not collect unnecessary personal data
USA,18–25,Female,Teacher,Daily,Data entry; calculation and error checking; Problem solving; basic research,Decisions about children,3,1,5,5,4,Tasks requiring no emotion or creativity,Involves sensitive personal data,Yes,Legal or ethical guidelines,Not sure,No,Shared control,Do not hallucinate
Australia,Under 18,Prefer not to say,Unemployed,Daily,Tutoring and study; practice questions,Personal decisions,4,4,4,1,4,Time-consuming administrative work,"Requires deep context about a person's life, Needs creativity or intuition",No,Clear explanations,Not sure,Not sure,Assist only when asked,Never act without human approval on high-risk tasks
Bangladesh,26–35,Female,Student,Daily,Data entry; calculation and error checking,Safety-critical tasks,4,1,2,5,2,Data-driven or analytical tasks,Creative judgment,No,Independent audits and certifications,Mixed,Not sure,AI handles small tasks only,Do not collect unnecessary personal data
United Kingdom,36–50,Prefer not to say,Freelancer,Daily,Drafting emails or reports,High-stakes financial decisions,3,3,1,3,4,Routine or repetitive work,"Involves sensitive personal data, High-risk tasks",No,Familiarity and training,Negative,Not sure,Shared control,Never act without human approval on high-risk tasks
USA,Under 18,Male,Freelancer,Occasionally,Data analysis; simple charts,Creative judgment,2,2,3,3,3,Low-risk tasks,Involves sensitive/personal information,No,Accuracy and reliability of results,Positive,Not sure,AI handles small tasks only,Do not hallucinate
India,26–35,Prefer not to say,Teacher,Daily,Scheduling; reminders,Decisions about children,3,2,1,5,3,Repetitive work,Needs creativity or intuition,Yes,Transparency (AI explains how it works),Not sure,Not sure,Human supervision always,Always explain decisions
Bangladesh,26–35,Male,Working Professional,Daily,Writing outlines; idea generation; Problem solving; basic research,Medical decisions,5,2,5,2,3,Low-risk tasks,"High-risk tasks, Involves sensitive/personal information",No,Legal or ethical guidelines,Not sure,No,Human final approval required,Always explain decisions
Bangladesh,Above 60,Female,Unemployed,Weekly,Data analysis; simple charts,Legal decisions,1,5,5,3,2,Data-heavy tasks,"Involves sensitive/personal information, High-risk tasks",No,Legal or ethical guidelines,Curious but worried,Not sure,AI handles small tasks only,Protect privacy
India,Above 60,Prefer not to say,Other,Daily,Routine tasks; organizing notes,Safety-critical tasks,4,2,3,4,3,Data-heavy tasks,"Involves sensitive personal data, Involves sensitive/personal information",Yes,Legal or ethical guidelines,Positive,Not sure,Assist only when asked,Do not decide personal matters
Russia,Under 18,Female,Freelancer,Occasionally,Drafting emails or reports,Decisions about children,5,3,5,1,2,Low-risk tasks,Needs creativity or intuition,No,Independent audits and certifications,Curious but worried,No,Shared control,Do not collect unnecessary personal data
Bangladesh,Above 60,Prefer not to say,Other,Weekly,Data entry; calculation and error checking,Decisions about children,1,3,4,5,3,"Routine or repetitive work, Repetitive work",Involves sensitive/personal information,Yes,Legal or ethical guidelines,Cautious,No,AI handles small tasks only,Do not hallucinate
India,Under 18,Male,Working Professional,Weekly,Graphic design; simple edits; Writing outlines; idea generation,Creative judgment; Hiring decisions,1,1,3,3,4,"Routine or repetitive work, Simple calculations and checks",High-risk tasks,Yes,Human oversight or approval options,Cautious,Not sure,Shared control,Be transparent
Australia,26–35,Female,Student,Daily,Scheduling; reminders,Legal decisions,4,2,3,5,3,Repetitive work,Involves sensitive personal data,No,Familiarity and training,Cautious,Not sure,Both integration,Never act without human approval on high-risk tasks
Bangladesh,26–35,Male,Other,Occasionally,Graphic design; simple edits,Creative judgment; Personal decisions,4,4,3,3,2,"Data-heavy tasks, Low-risk tasks",Involves sensitive/personal information,Yes,Familiarity and training,Curious but worried,Yes,AI handles small tasks only,Do not decide personal matters
Australia,18–25,Male,Office Staff,Daily,Exam preparation; flashcards,Emotional tasks,5,1,5,4,3,Data-heavy tasks,"Requires deep context about a person's life, Involves sensitive/personal information",No,Legal or ethical guidelines,Ambivalent,No,AI handles small tasks only,Always explain decisions
Other,36–50,Male,Student,Daily,Graphic design; simple edits,Creative judgment,3,4,5,1,3,Repetitive work,Needs creativity or intuition,No,Familiarity and training,Negative,Yes,Both integration,Be transparent
Bangladesh,18–25,Prefer not to say,Unemployed,Occasionally,Writing outlines; idea generation,Decisions about children; High-stakes financial decisions,4,4,3,5,3,"Data-heavy tasks, Routine or repetitive work",High-risk tasks,No,Accuracy and reliability of results,Ambivalent,Not sure,Human final approval required,Do not collect unnecessary personal data
USA,26–35,Female,Teacher,Weekly,Writing outlines; idea generation,Ethical judgments,3,4,5,3,3,"Clear rule-based tasks, Tasks requiring no emotion or creativity",High-risk tasks,No,Accuracy and reliability of results,Negative,Yes,AI handles small tasks only,Do not collect unnecessary personal data
USA,Under 18,Female,Other,Weekly,Writing outlines; idea generation,Decisions about children,4,3,4,4,4,Low-risk tasks,"Involves sensitive personal data, Requires deep context about a person's life",Yes,Legal or ethical guidelines,Curious but worried,No,Assist only when asked,Do not collect unnecessary personal data
Other,18–25,Female,Teacher,Occasionally,Data entry; calculation and error checking,Decisions about children; Personal decisions,5,3,2,3,3,Repetitive work,Requires deep context about a person's life,Yes,Clear explanations,Not sure,Not sure,Shared control,Do not decide personal matters
USA,36–50,Male,Working Professional,Weekly,Graphic design; simple edits,Safety-critical tasks,5,5,3,3,3,Routine or repetitive work,Requires deep context about a person's life,Yes,Transparency (AI explains how it works),Mixed,No,Assist only when asked,Do not collect unnecessary personal data
India,Under 18,Female,Working Professional,Weekly,Drafting emails or reports; Study help; summarizing articles,Hiring decisions,4,4,3,2,2,Simple calculations and checks,High-risk tasks,Yes,Clear explanations,Negative,No,Both integration,Be transparent
USA,Under 18,Prefer not to say,Freelancer,Daily,Tutoring and study; practice questions; Graphic design; simple edits,Safety-critical tasks,4,3,5,4,3,Repetitive work,Involves sensitive/personal information,Yes,Independent audits and certifications,Curious but worried,Not sure,AI handles small tasks only,Do not hallucinate
USA,36–50,Prefer not to say,Unemployed,Weekly,Repetitive work,Medical decisions,5,1,4,4,2,Data-driven or analytical tasks,High-risk tasks,Yes,Independent audits and certifications,Ambivalent,Yes,AI handles small tasks only,Do not decide personal matters
Middle Eastern,36–50,Prefer not to say,Unemployed,Occasionally,Code generation; debugging hints; Routine tasks; organizing notes,Mental health support,3,5,3,4,5,Tasks requiring no emotion or creativity,Has high risk or safety consequences,No,Transparency (AI explains how it works),Positive,No,Assist only when asked,Do not decide personal matters
USA,36–50,Female,Unemployed,Daily,Repetitive work; Scheduling; reminders,Hiring decisions,5,3,5,3,5,Low-risk tasks,Has high risk or safety consequences,No,Transparency (AI explains how it works),Negative,Yes,Human supervision always,Do not collect unnecessary personal data
Bangladesh,Above 60,Male,Teacher,Daily,Problem solving; basic research,Human rights,3,3,1,2,3,Repetitive work,Involves sensitive personal data,Yes,Accuracy and reliability of results,Not sure,No,Assist only when asked,Protect privacy
United Kingdom,Under 18,Male,Other,Daily,Problem solving; basic research,Mental health support; Creative judgment,3,4,5,5,5,Data-driven or analytical tasks,Has high risk or safety consequences,Yes,Independent audits and certifications,Mixed,Not sure,Human supervision always,Be transparent
Bangladesh,26–35,Prefer not to say,Office Staff,Daily,Data analysis; simple charts,Creative judgment,5,4,4,1,3,Tasks requiring no emotion or creativity,"Involves sensitive/personal information, Requires deep context about a person's life",Yes,Legal or ethical guidelines,Cautious,Not sure,Human final approval required,Do not decide personal matters
USA,36–50,Prefer not to say,Other,Daily,Problem solving; basic research,Creative judgment,2,2,2,3,4,"Routine or repetitive work, Clear rule-based tasks",Creative judgment,Yes,Familiarity and training,Ambivalent,Yes,Human final approval required,Always explain decisions
Russia,Above 60,Male,Other,Occasionally,Exam preparation; flashcards,High-stakes financial decisions,2,5,4,3,2,"Clear rule-based tasks, Data-driven or analytical tasks","Involves sensitive personal data, Needs cultural understanding",No,Legal or ethical guidelines,Positive,Not sure,Shared control,Do not hallucinate
Russia,Above 60,Male,Freelancer,Occasionally,Code generation; debugging hints,Safety-critical tasks; Legal decisions,3,5,3,3,4,Data-driven or analytical tasks,"Has high risk or safety consequences, Creative judgment",No,Independent audits and certifications,Curious but worried,No,Human supervision always,Do not collect unnecessary personal data
Russia,18–25,Male,Unemployed,Occasionally,Tutoring and study; practice questions,Human rights,4,5,3,1,3,"Repetitive work, Simple calculations and checks","Involves sensitive personal data, Requires empathy or emotional understanding",Yes,Legal or ethical guidelines,Negative,No,Assist only when asked,Do not decide personal matters
United Kingdom,26–35,Prefer not to say,Freelancer,Daily,Routine tasks; organizing notes,Hiring decisions,4,4,2,5,4,Data-heavy tasks,Requires deep context about a person's life,Yes,Familiarity and training,Curious but worried,No,Human final approval required,Be transparent
Other,Above 60,Female,Working Professional,Weekly,Data analysis; simple charts,Decisions about children,4,3,4,2,5,Clear rule-based tasks,Creative judgment,Yes,Accuracy and reliability of results,Mixed,Not sure,Shared control,Protect privacy
Bangladesh,Above 60,Female,Freelancer,Occasionally,Data entry; calculation and error checking,Mental health support,5,4,4,5,3,"Tasks requiring no emotion or creativity, Time-consuming administrative work",Requires empathy or emotional understanding,Yes,Human oversight or approval options,Positive,No,AI handles small tasks only,Protect privacy
Other,Under 18,Prefer not to say,Working Professional,Daily,Tutoring and study; practice questions,Safety-critical tasks,4,5,3,3,5,Data-driven or analytical tasks,Needs creativity or intuition,No,Familiarity and training,Mixed,Yes,AI handles small tasks only,Do not collect unnecessary personal data
Russia,36–50,Female,Office Staff,Occasionally,Graphic design; simple edits,Ethical judgments,5,3,1,4,3,Data-driven or analytical tasks,Involves sensitive/personal information,No,Clear explanations,Mixed,Not sure,Both integration,Do not hallucinate
Australia,18–25,Male,Office Staff,Weekly,Routine tasks; organizing notes,Mental health support,3,1,5,2,2,"Low-risk tasks, Clear rule-based tasks",Has high risk or safety consequences,No,Legal or ethical guidelines,Ambivalent,Yes,AI handles small tasks only,Do not decide personal matters
