Country,Age group,Gender,Role,AI usage frequency,Tasks to automate,Tasks needing human oversight,AI makes routine tasks easier (1â€“5),Comfort with AI low-risk decisions (1â€“5),Worry about AI making sensitive decisions (1â€“5),Human judgment essential for creative tasks (1â€“5),Trust AI to act responsibly (1â€“5),What makes a task suitable for automation?,What makes a task unsuitable for automation?,Ever felt uncomfortable with AI?,What increases trust?,Country: general feeling about AI,AI reduces job opportunities?,Balance of human vs AI,One rule for AI
USA,18â€“25,Male,Working Professional,Weekly,Graphic design; simple edits,Safety-critical tasks,5,5,3,3,3,Routine or repetitive work,Requires deep context about a person's life,Yes,Transparency (AI explains how it works),Mixed,No,Assist only when asked,Do not collect unnecessary personal data
India,Under 18,Female,Working Professional,Weekly,Drafting emails or reports; Study help; summarizing articles,Hiring decisions,4,4,3,2,2,Simple calculations and checks,High-risk tasks,Yes,Clear explanations,Negative,No,Both integration,Be transparent
USA,Under 18,Prefer not to say,Working Professional,Daily,Tutoring and study; practice questions; Graphic design; simple edits,Safety-critical tasks,4,3,5,4,3,Repetitive work,Involves sensitive/personal information,Yes,Independent audits and certifications,Curious but worried,Not sure,AI handles small tasks only,Do not hallucinate
USA,18â€“25,Prefer not to say,Student,Weekly,Repetitive work,Medical decisions,5,1,4,4,2,Data-driven or analytical tasks,High-risk tasks,Yes,Independent audits and certifications,Ambivalent,Yes,AI handles small tasks only,Do not decide personal matters
Middle Eastern,18â€“25,Prefer not to say,Student,Occasionally,Code generation; debugging hints; Routine tasks; organizing notes,Mental health support,3,5,3,4,5,Tasks requiring no emotion or creativity,Has high risk or safety consequences,No,Transparency (AI explains how it works),Positive,No,Assist only when asked,Do not decide personal matters
USA,18â€“25,Female,Student,Daily,Repetitive work; Scheduling; reminders,Hiring decisions,5,3,5,3,5,Low-risk tasks,Has high risk or safety consequences,No,Transparency (AI explains how it works),Negative,Yes,Human supervision always,Do not collect unnecessary personal data
Bangladesh,26â€“60,Male,Working Professional,Daily,Problem solving; basic research,Human rights,3,3,1,2,3,Repetitive work,Involves sensitive personal data,Yes,Accuracy and reliability of results,Not sure,No,Assist only when asked,Protect privacy
United Kingdom,Under 18,Male,Other,Daily,Problem solving; basic research,Mental health support; Creative judgment,3,4,5,5,5,Data-driven or analytical tasks,Has high risk or safety consequences,Yes,Independent audits and certifications,Mixed,Not sure,Human supervision always,Be transparent
Bangladesh,26â€“60,Prefer not to say,Working Professional,Daily,Data analysis; simple charts,Creative judgment,5,4,4,1,3,Tasks requiring no emotion or creativity,"Involves sensitive/personal information, Requires deep context about a person's life",Yes,Legal or ethical guidelines,Cautious,Not sure,Human final approval required,Do not decide personal matters
USA,18â€“25,Prefer not to say,Other,Daily,Problem solving; basic research,Creative judgment,2,2,2,3,4,"Routine or repetitive work, Clear rule-based tasks",Creative judgment,Yes,Familiarity and training,Ambivalent,Yes,Human final approval required,Always explain decisions
Russia,26â€“60,Male,Other,Occasionally,Exam preparation; flashcards,High-stakes financial decisions,2,5,4,3,2,"Clear rule-based tasks, Data-driven or analytical tasks","Involves sensitive personal data, Needs cultural understanding",No,Legal or ethical guidelines,Positive,Not sure,Shared control,Do not hallucinate
Russia,26â€“60,Male,Working Professional,Occasionally,Code generation; debugging hints,Safety-critical tasks; Legal decisions,3,5,3,3,4,Data-driven or analytical tasks,"Has high risk or safety consequences, Creative judgment",No,Independent audits and certifications,Curious but worried,No,Human supervision always,Do not collect unnecessary personal data
Russia,18â€“25,Male,Student,Occasionally,Tutoring and study; practice questions,Human rights,4,5,3,1,3,"Repetitive work, Simple calculations and checks","Involves sensitive personal data, Requires empathy or emotional understanding",Yes,Legal or ethical guidelines,Negative,No,Assist only when asked,Do not decide personal matters
United Kingdom,26â€“60,Prefer not to say,Working Professional,Daily,Routine tasks; organizing notes,Hiring decisions,4,4,2,5,4,Data-heavy tasks,Requires deep context about a person's life,Yes,Familiarity and training,Curious but worried,No,Human final approval required,Be transparent
Other,26â€“60,Female,Working Professional,Weekly,Data analysis; simple charts,Decisions about children,4,3,4,2,5,Clear rule-based tasks,Creative judgment,Yes,Accuracy and reliability of results,Mixed,Not sure,Shared control,Protect privacy
Bangladesh,26â€“60,Female,Working Professional,Occasionally,Data entry; calculation and error checking,Mental health support,5,4,4,5,3,"Tasks requiring no emotion or creativity, Time-consuming administrative work",Requires empathy or emotional understanding,Yes,Human oversight or approval options,Positive,No,AI handles small tasks only,Protect privacy
Other,Under 18,Prefer not to say,Working Professional,Daily,Tutoring and study; practice questions,Safety-critical tasks,4,5,3,3,5,Data-driven or analytical tasks,Needs creativity or intuition,No,Familiarity and training,Mixed,Yes,AI handles small tasks only,Do not collect unnecessary personal data
Russia,18â€“25,Female,Working Professional,Occasionally,Graphic design; simple edits,Ethical judgments,5,3,1,4,3,Data-driven or analytical tasks,Involves sensitive/personal information,No,Clear explanations,Mixed,Not sure,Both integration,Do not hallucinate
Australia,18â€“25,Male,Working Professional,Weekly,Routine tasks; organizing notes,Mental health support,3,1,5,2,2,"Low-risk tasks, Clear rule-based tasks",Has high risk or safety consequences,No,Legal or ethical guidelines,Ambivalent,Yes,AI handles small tasks only,Do not decide personal matters
United Kingdom,26â€“60,Prefer not to say,Working Professional,Occasionally,Repetitive work,Hiring decisions,1,5,3,5,5,Low-risk tasks,Creative judgment,Yes,Accuracy and reliability of results,Curious but worried,Not sure,Shared control,Do not decide personal matters
Other,18â€“25,Prefer not to say,Student,Daily,Repetitive work,Personal decisions,5,3,4,4,4,"Time-consuming administrative work, Tasks requiring no emotion or creativity",Needs cultural understanding,Yes,Legal or ethical guidelines,Ambivalent,Yes,Human supervision always,Do not hallucinate
Australia,18â€“25,Male,Student,Weekly,Data analysis; simple charts; Scheduling; reminders,Legal decisions,5,3,4,1,4,Low-risk tasks,High-risk tasks,No,Clear explanations,Positive,Not sure,AI handles small tasks only,Do not decide personal matters
Other,18â€“25,Female,Working Professional,Occasionally,Study help; summarizing articles,High-stakes financial decisions,3,4,5,5,4,Routine or repetitive work,High-risk tasks,Yes,Familiarity and training,Positive,Yes,Human final approval required,Always explain decisions
Russia,26â€“60,Female,Student,Weekly,Data entry; calculation and error checking,Emotional tasks,4,3,5,3,1,Clear rule-based tasks,Creative judgment,No,Accuracy and reliability of results,Not sure,Yes,Assist only when asked,Do not hallucinate
India,26â€“60,Male,Student,Occasionally,Data analysis; simple charts,Hiring decisions,4,3,2,2,4,Tasks requiring no emotion or creativity,Needs cultural understanding,Yes,Clear explanations,Not sure,No,Shared control,Do not hallucinate
United Kingdom,Under 18,Male,Working Professional,Daily,Data entry; calculation and error checking; Data analysis; simple charts,Legal decisions; High-stakes financial decisions,4,3,3,2,3,Tasks requiring no emotion or creativity,"Requires empathy or emotional understanding, Involves sensitive/personal information",Yes,Familiarity and training,Positive,No,Human final approval required,Never act without human approval on high-risk tasks
Middle Eastern,18â€“25,Male,Working Professional,Daily,Data analysis; simple charts,Decisions about children,5,1,3,3,4,"Data-heavy tasks, Low-risk tasks","High-risk tasks, Creative judgment",No,Transparency (AI explains how it works),Curious but worried,Not sure,Assist only when asked,Do not hallucinate
Russia,18â€“25,Prefer not to say,Working Professional,Weekly,Study help; summarizing articles,Mental health support; Emotional tasks,4,3,2,4,2,Repetitive work,Needs cultural understanding,Yes,Legal or ethical guidelines,Negative,No,Human supervision always,Do not decide personal matters
India,26â€“60,Prefer not to say,Other,Daily,Writing outlines; idea generation,High-stakes financial decisions,3,4,4,5,2,"Simple calculations and checks, Data-heavy tasks",Creative judgment,Yes,Human oversight or approval options,Negative,Not sure,Shared control,Never act without human approval on high-risk tasks
United Kingdom,18â€“25,Male,Working Professional,Daily,Tutoring and study; practice questions,Mental health support,3,3,4,3,3,Data-heavy tasks,Requires deep context about a person's life,Yes,Familiarity and training,Not sure,Yes,Assist only when asked,Do not hallucinate
Middle Eastern,26â€“60,Male,Working Professional,Daily,Drafting emails or reports,Emotional tasks,3,4,3,4,4,Simple calculations and checks,"Requires deep context about a person's life, High-risk tasks",No,Human oversight or approval options,Curious but worried,Not sure,Shared control,Always explain decisions
Bangladesh,Under 18,Female,Working Professional,Weekly,Exam preparation; flashcards,Decisions about children,3,4,1,4,3,"Simple calculations and checks, Clear rule-based tasks",High-risk tasks,Yes,Familiarity and training,Ambivalent,No,Human final approval required,Do not decide personal matters
Middle Eastern,18â€“25,Male,Student,Daily,Routine tasks; organizing notes,Hiring decisions,3,4,2,3,4,Time-consuming administrative work,"Needs creativity or intuition, Involves sensitive/personal information",Yes,Transparency (AI explains how it works),Cautious,No,Both integration,Always explain decisions
USA,Under 18,Female,Other,Daily,Repetitive work; Data analysis; simple charts,Decisions about children,5,4,5,1,3,Repetitive work,Creative judgment,Yes,Human oversight or approval options,Not sure,No,Shared control,Do not hallucinate
Middle Eastern,Under 18,Female,Working Professional,Daily,Data analysis; simple charts,Mental health support,4,4,4,4,3,"Data-heavy tasks, Tasks requiring no emotion or creativity",Needs creativity or intuition,No,Familiarity and training,Not sure,Not sure,Human final approval required,Protect privacy
Other,18â€“25,Female,Working Professional,Occasionally,Writing outlines; idea generation; Routine tasks; organizing notes,Legal decisions,4,4,4,1,4,Tasks requiring no emotion or creativity,Has high risk or safety consequences,No,Accuracy and reliability of results,Positive,Yes,Shared control,Do not decide personal matters
USA,Under 18,Male,Student,Daily,Exam preparation; flashcards,Hiring decisions,4,3,1,3,1,Tasks requiring no emotion or creativity,High-risk tasks,Yes,Familiarity and training,Curious but worried,Yes,Assist only when asked,Protect privacy
Other,18â€“25,Male,Working Professional,Daily,Scheduling; reminders,Decisions about children; Legal decisions,4,3,1,3,2,Low-risk tasks,Needs cultural understanding,No,Independent audits and certifications,Not sure,No,Both integration,Do not decide personal matters
United Kingdom,18â€“25,Female,Working Professional,Occasionally,Study help; summarizing articles,Personal decisions,5,3,4,4,3,Tasks requiring no emotion or creativity,Needs creativity or intuition,Yes,Clear explanations,Not sure,Not sure,Shared control,Never act without human approval on high-risk tasks
India,18â€“25,Prefer not to say,Student,Daily,Tutoring and study; practice questions,Emotional tasks,3,3,2,3,3,Clear rule-based tasks,Needs cultural understanding,No,Clear explanations,Not sure,Not sure,Human final approval required,Never act without human approval on high-risk tasks
Russia,18â€“25,Prefer not to say,Working Professional,Daily,Graphic design; simple edits; Routine tasks; organizing notes,Personal decisions; Mental health support,5,4,3,5,5,Clear rule-based tasks,Needs creativity or intuition,No,Legal or ethical guidelines,Not sure,Not sure,Human final approval required,Never act without human approval on high-risk tasks
Other,Under 18,Female,Student,Occasionally,Writing outlines; idea generation; Tutoring and study; practice questions,Safety-critical tasks,2,4,4,3,3,Simple calculations and checks,Involves sensitive personal data,No,Transparency (AI explains how it works),Not sure,Not sure,Shared control,Be transparent
United Kingdom,26â€“60,Male,Working Professional,Daily,Scheduling; reminders,Hiring decisions; Decisions about children,4,5,2,3,2,Time-consuming administrative work,Needs cultural understanding,Yes,Human oversight or approval options,Mixed,Not sure,Shared control,Always explain decisions
United Kingdom,18â€“25,Male,Working Professional,Weekly,Routine tasks; organizing notes,Emotional tasks,4,5,3,3,3,Data-driven or analytical tasks,Involves sensitive/personal information,No,Transparency (AI explains how it works),Negative,No,Shared control,Do not hallucinate
USA,26â€“60,Female,Student,Daily,Tutoring and study; practice questions; Data entry; calculation and error checking,Safety-critical tasks,4,4,4,5,3,Repetitive work,Requires empathy or emotional understanding,Yes,Independent audits and certifications,Cautious,Not sure,Human final approval required,Never act without human approval on high-risk tasks
Other,18â€“25,Male,Student,Daily,Writing outlines; idea generation,Mental health support,5,2,1,2,2,Simple calculations and checks,Involves sensitive/personal information,No,Independent audits and certifications,Curious but worried,No,Human final approval required,Do not collect unnecessary personal data
India,18â€“25,Female,Other,Occasionally,Writing outlines; idea generation,Human rights,4,3,5,3,5,Data-heavy tasks,"Needs cultural understanding, Has high risk or safety consequences",Yes,Independent audits and certifications,Negative,Yes,Human final approval required,Do not decide personal matters
Russia,26â€“60,Female,Working Professional,Daily,Writing outlines; idea generation,Medical decisions,5,5,4,1,5,Low-risk tasks,"Has high risk or safety consequences, Requires deep context about a person's life",Yes,Independent audits and certifications,Not sure,Not sure,Both integration,Protect privacy
Middle Eastern,18â€“25,Female,Student,Weekly,Problem solving; basic research,Emotional tasks,5,1,3,3,5,Repetitive work,Involves sensitive/personal information,No,Clear explanations,Ambivalent,Not sure,AI handles small tasks only,Do not collect unnecessary personal data
United Kingdom,18â€“25,Female,Working Professional,Weekly,Scheduling; reminders,Medical decisions; Emotional tasks,3,4,4,4,3,"Repetitive work, Low-risk tasks",Involves sensitive personal data,No,Human oversight or approval options,Ambivalent,Yes,Assist only when asked,Do not decide personal matters
Australia,Under 18,Female,Working Professional,Occasionally,Scheduling; reminders; Routine tasks; organizing notes,Medical decisions; Legal decisions,3,3,3,4,2,Low-risk tasks,High-risk tasks,Yes,Transparency (AI explains how it works),Ambivalent,No,Shared control,Do not collect unnecessary personal data
Middle Eastern,Under 18,Prefer not to say,Other,Daily,Data entry; calculation and error checking,High-stakes financial decisions; Creative judgment,3,5,1,5,4,Repetitive work,Has high risk or safety consequences,Yes,Clear explanations,Ambivalent,Yes,Both integration,Always explain decisions
India,18â€“25,Male,Working Professional,Weekly,Study help; summarizing articles,Decisions about children,3,3,4,2,4,Data-driven or analytical tasks,Requires empathy or emotional understanding,No,Human oversight or approval options,Curious but worried,Not sure,Human final approval required,Do not hallucinate
United Kingdom,18â€“25,Female,Student,Daily,Problem solving; basic research; Exam preparation; flashcards,Hiring decisions,4,1,5,1,3,Low-risk tasks,Involves sensitive/personal information,Yes,Accuracy and reliability of results,Negative,Yes,Shared control,Do not collect unnecessary personal data
Middle Eastern,18â€“25,Prefer not to say,Student,Daily,Study help; summarizing articles,Ethical judgments,4,4,2,3,3,Tasks requiring no emotion or creativity,Involves sensitive/personal information,No,Clear explanations,Not sure,Yes,Shared control,Do not hallucinate
Bangladesh,26â€“60,Prefer not to say,Working Professional,Weekly,Problem solving; basic research,Mental health support,3,1,1,1,3,"Data-heavy tasks, Data-driven or analytical tasks",Involves sensitive/personal information,Yes,Accuracy and reliability of results,Not sure,No,AI handles small tasks only,Always explain decisions
India,18â€“25,Female,Working Professional,Daily,Exam preparation; flashcards,Legal decisions; Creative judgment,4,4,3,3,2,Repetitive work,"Needs creativity or intuition, Requires deep context about a person's life",No,Human oversight or approval options,Negative,Yes,Human final approval required,Do not collect unnecessary personal data
Middle Eastern,26â€“60,Female,Other,Daily,Repetitive work,Legal decisions,3,3,5,2,4,Data-driven or analytical tasks,Creative judgment,No,Transparency (AI explains how it works),Mixed,Yes,AI handles small tasks only,Always explain decisions
Other,18â€“25,Prefer not to say,Working Professional,Weekly,Data analysis; simple charts,Safety-critical tasks; High-stakes financial decisions,3,1,3,2,3,Tasks requiring no emotion or creativity,"Creative judgment, High-risk tasks",Yes,Legal or ethical guidelines,Cautious,Yes,Human supervision always,Never act without human approval on high-risk tasks
Middle Eastern,26â€“60,Female,Working Professional,Daily,Graphic design; simple edits,Ethical judgments; Personal decisions,2,2,5,1,3,Data-heavy tasks,Needs cultural understanding,No,Accuracy and reliability of results,Cautious,No,Human supervision always,Be transparent
India,18â€“25,Male,Working Professional,Daily,Tutoring and study; practice questions; Routine tasks; organizing notes,Legal decisions; High-stakes financial decisions,3,2,3,5,3,Data-driven or analytical tasks,"Requires empathy or emotional understanding, Requires deep context about a person's life",Yes,Transparency (AI explains how it works),Ambivalent,Yes,AI handles small tasks only,Protect privacy
USA,Under 18,Female,Other,Daily,Repetitive work; Writing outlines; idea generation,Human rights; Hiring decisions,4,2,3,5,2,Data-heavy tasks,Involves sensitive/personal information,No,Independent audits and certifications,Positive,Yes,Shared control,Do not hallucinate
Russia,Under 18,Male,Student,Daily,Graphic design; simple edits; Study help; summarizing articles,Ethical judgments,5,3,4,4,3,Simple calculations and checks,Requires empathy or emotional understanding,Yes,Clear explanations,Mixed,No,Both integration,Always explain decisions
USA,18â€“25,Male,Working Professional,Occasionally,Writing outlines; idea generation,Emotional tasks,4,4,5,5,5,Simple calculations and checks,High-risk tasks,No,Human oversight or approval options,Positive,No,Human final approval required,Do not hallucinate
Russia,26â€“60,Male,Working Professional,Daily,Study help; summarizing articles,Hiring decisions,4,3,5,5,1,"Low-risk tasks, Data-heavy tasks",Requires deep context about a person's life,Yes,Clear explanations,Ambivalent,No,Human final approval required,Always explain decisions
Australia,18â€“25,Female,Student,Daily,Study help; summarizing articles,Safety-critical tasks,3,2,3,1,5,"Data-heavy tasks, Low-risk tasks",Has high risk or safety consequences,No,Transparency (AI explains how it works),Mixed,Not sure,Assist only when asked,Protect privacy
USA,18â€“25,Prefer not to say,Student,Weekly,Exam preparation; flashcards,Human rights,5,4,2,5,4,Low-risk tasks,"Creative judgment, Requires empathy or emotional understanding",No,Independent audits and certifications,Not sure,Not sure,Shared control,Do not hallucinate
United Kingdom,26â€“60,Male,Student,Daily,Routine tasks; organizing notes,High-stakes financial decisions,4,2,5,2,5,Data-heavy tasks,"Creative judgment, Involves sensitive/personal information",No,Accuracy and reliability of results,Not sure,Yes,Assist only when asked,Be transparent
USA,18â€“25,Female,Student,Daily,Study help; summarizing articles; Routine tasks; organizing notes,Medical decisions,3,4,4,4,4,"Data-heavy tasks, Routine or repetitive work",Involves sensitive/personal information,No,Human oversight or approval options,Ambivalent,Yes,Human final approval required,Be transparent
Bangladesh,18â€“25,Prefer not to say,Working Professional,Weekly,Code generation; debugging hints,Mental health support,4,1,3,5,3,"Data-driven or analytical tasks, Routine or repetitive work",Requires empathy or emotional understanding,No,Human oversight or approval options,Positive,No,Shared control,Protect privacy
Other,18â€“25,Male,Student,Daily,Tutoring and study; practice questions,High-stakes financial decisions,4,5,3,2,4,Clear rule-based tasks,Requires deep context about a person's life,No,Human oversight or approval options,Cautious,Yes,AI handles small tasks only,Protect privacy
Bangladesh,18â€“25,Prefer not to say,Working Professional,Daily,Repetitive work,Creative judgment,4,4,3,5,2,Clear rule-based tasks,Involves sensitive personal data,Yes,Legal or ethical guidelines,Mixed,Yes,Both integration,Do not collect unnecessary personal data
USA,Under 18,Female,Working Professional,Occasionally,Scheduling; reminders,High-stakes financial decisions; Decisions about children,3,2,2,1,1,Data-driven or analytical tasks,"Involves sensitive/personal information, High-risk tasks",No,Familiarity and training,Mixed,No,Human final approval required,Protect privacy
India,18â€“25,Male,Working Professional,Daily,Writing outlines; idea generation; Code generation; debugging hints,Safety-critical tasks,4,5,1,2,4,Data-driven or analytical tasks,Involves sensitive personal data,No,Transparency (AI explains how it works),Negative,No,Both integration,Do not hallucinate
Bangladesh,18â€“25,Female,Working Professional,Daily,Drafting emails or reports,Emotional tasks,4,5,5,1,4,Routine or repetitive work,"Needs creativity or intuition, Involves sensitive personal data",No,Accuracy and reliability of results,Ambivalent,No,Human final approval required,Never act without human approval on high-risk tasks
Other,26â€“60,Female,Other,Daily,Code generation; debugging hints,Medical decisions; Human rights,5,1,4,3,4,"Repetitive work, Simple calculations and checks",Requires empathy or emotional understanding,Yes,Accuracy and reliability of results,Mixed,No,Human final approval required,Protect privacy
Russia,18â€“25,Prefer not to say,Student,Daily,Data analysis; simple charts,Legal decisions,5,4,3,2,5,"Tasks requiring no emotion or creativity, Time-consuming administrative work",Needs creativity or intuition,Yes,Accuracy and reliability of results,Ambivalent,No,Human final approval required,Be transparent
USA,26â€“60,Male,Working Professional,Daily,Graphic design; simple edits,Emotional tasks,5,3,5,4,3,Simple calculations and checks,High-risk tasks,No,Familiarity and training,Positive,Yes,Human final approval required,Never act without human approval on high-risk tasks
Australia,26â€“60,Prefer not to say,Student,Daily,Scheduling; reminders; Data entry; calculation and error checking,Creative judgment,3,3,3,3,4,Repetitive work,Needs cultural understanding,Yes,Clear explanations,Positive,Not sure,Both integration,Do not decide personal matters
United Kingdom,26â€“60,Prefer not to say,Working Professional,Daily,Data entry; calculation and error checking,Creative judgment; Legal decisions,4,4,5,4,3,"Simple calculations and checks, Data-driven or analytical tasks",High-risk tasks,Yes,Clear explanations,Mixed,Not sure,Shared control,Do not hallucinate
Middle Eastern,26â€“60,Female,Working Professional,Daily,Exam preparation; flashcards; Study help; summarizing articles,Creative judgment; High-stakes financial decisions,4,2,1,4,3,Tasks requiring no emotion or creativity,"Needs cultural understanding, Has high risk or safety consequences",Yes,Human oversight or approval options,Mixed,No,Human final approval required,Protect privacy
India,18â€“25,Female,Working Professional,Occasionally,Exam preparation; flashcards,Emotional tasks,3,1,3,2,4,"Routine or repetitive work, Tasks requiring no emotion or creativity",Needs cultural understanding,No,Legal or ethical guidelines,Positive,Yes,Human final approval required,Do not hallucinate
United Kingdom,Under 18,Prefer not to say,Student,Weekly,Exam preparation; flashcards,Legal decisions,3,4,3,2,3,Data-driven or analytical tasks,Involves sensitive personal data,No,Legal or ethical guidelines,Ambivalent,Yes,AI handles small tasks only,Protect privacy
Bangladesh,18â€“25,Male,Working Professional,Occasionally,Writing outlines; idea generation; Scheduling; reminders,Personal decisions,3,1,3,2,4,Repetitive work,Requires empathy or emotional understanding,Yes,Transparency (AI explains how it works),Ambivalent,Yes,Both integration,Protect privacy
USA,18â€“25,Prefer not to say,Working Professional,Weekly,Data entry; calculation and error checking,Legal decisions,3,4,4,3,4,Routine or repetitive work,"Involves sensitive personal data, Needs creativity or intuition",No,Independent audits and certifications,Curious but worried,Yes,AI handles small tasks only,Never act without human approval on high-risk tasks
Other,18â€“25,Prefer not to say,Student,Daily,Data entry; calculation and error checking,Creative judgment; Mental health support,1,4,5,5,4,Routine or repetitive work,Needs creativity or intuition,No,Accuracy and reliability of results,Cautious,Yes,Shared control,Do not collect unnecessary personal data
Russia,18â€“25,Prefer not to say,Student,Daily,Problem solving; basic research,Decisions about children,5,1,5,4,2,Routine or repetitive work,"Requires deep context about a person's life, Needs cultural understanding",No,Legal or ethical guidelines,Mixed,No,Assist only when asked,Do not collect unnecessary personal data
India,18â€“25,Prefer not to say,Working Professional,Daily,Scheduling; reminders,Decisions about children,5,2,3,4,4,Data-heavy tasks,Has high risk or safety consequences,No,Transparency (AI explains how it works),Cautious,No,Shared control,Be transparent
United Kingdom,26â€“60,Prefer not to say,Working Professional,Weekly,Scheduling; reminders,Creative judgment,4,3,4,4,4,"Repetitive work, Low-risk tasks",High-risk tasks,No,Independent audits and certifications,Negative,Yes,Both integration,Do not decide personal matters
United Kingdom,26â€“60,Prefer not to say,Student,Daily,Tutoring and study; practice questions,Emotional tasks,3,3,5,3,5,"Repetitive work, Tasks requiring no emotion or creativity",Requires empathy or emotional understanding,Yes,Independent audits and certifications,Positive,Not sure,Human final approval required,Never act without human approval on high-risk tasks
Other,26â€“60,Female,Other,Daily,Scheduling; reminders,Emotional tasks; High-stakes financial decisions,3,3,4,4,3,"Time-consuming administrative work, Data-heavy tasks",Creative judgment,No,Clear explanations,Positive,Yes,Human supervision always,Protect privacy
United Kingdom,18â€“25,Male,Other,Daily,Scheduling; reminders,Decisions about children; Emotional tasks,4,4,4,2,3,Simple calculations and checks,"High-risk tasks, Involves sensitive personal data",Yes,Familiarity and training,Ambivalent,Yes,Human final approval required,Protect privacy
USA,18â€“25,Male,Student,Weekly,Data analysis; simple charts,Personal decisions,4,3,5,3,4,Data-heavy tasks,Involves sensitive personal data,Yes,Legal or ethical guidelines,Curious but worried,Not sure,Assist only when asked,Always explain decisions
United Kingdom,18â€“25,Male,Working Professional,Weekly,Data entry; calculation and error checking,Mental health support,4,5,1,5,5,Routine or repetitive work,High-risk tasks,No,Clear explanations,Ambivalent,Not sure,AI handles small tasks only,Do not collect unnecessary personal data
Middle Eastern,18â€“25,Male,Working Professional,Daily,Repetitive work,Personal decisions; Creative judgment,3,4,5,4,2,Repetitive work,"Involves sensitive personal data, High-risk tasks",Yes,Clear explanations,Ambivalent,Not sure,Both integration,Do not hallucinate
Middle Eastern,18â€“25,Female,Other,Occasionally,Writing outlines; idea generation,Emotional tasks,3,4,1,3,4,Data-heavy tasks,High-risk tasks,Yes,Independent audits and certifications,Ambivalent,Yes,AI handles small tasks only,Protect privacy
India,18â€“25,Male,Student,Daily,Data entry; calculation and error checking; Problem solving; basic research,Decisions about children; High-stakes financial decisions,3,2,5,1,3,Data-driven or analytical tasks,High-risk tasks,No,Familiarity and training,Negative,Yes,Human final approval required,Be transparent
Middle Eastern,Under 18,Female,Working Professional,Occasionally,Tutoring and study; practice questions,High-stakes financial decisions,4,3,2,5,4,Data-heavy tasks,Needs creativity or intuition,No,Legal or ethical guidelines,Not sure,Yes,Both integration,Do not decide personal matters
Russia,26â€“60,Prefer not to say,Student,Daily,Writing outlines; idea generation,Medical decisions,3,4,3,1,1,Time-consuming administrative work,Needs creativity or intuition,No,Independent audits and certifications,Positive,Yes,Human final approval required,Do not collect unnecessary personal data
USA,Under 18,Female,Working Professional,Daily,Study help; summarizing articles,Hiring decisions,2,1,4,4,3,Tasks requiring no emotion or creativity,Requires empathy or emotional understanding,Yes,Familiarity and training,Positive,Not sure,Assist only when asked,Always explain decisions
Russia,26â€“60,Male,Working Professional,Weekly,Scheduling; reminders; Data entry; calculation and error checking,Creative judgment; Mental health support,3,1,4,3,3,Tasks requiring no emotion or creativity,"High-risk tasks, Has high risk or safety consequences",No,Clear explanations,Not sure,Not sure,Assist only when asked,Do not decide personal matters
India,Under 18,Male,Working Professional,Daily,Problem solving; basic research; Scheduling; reminders,Creative judgment; Ethical judgments,4,5,3,5,5,Time-consuming administrative work,"Creative judgment, Has high risk or safety consequences",Yes,Independent audits and certifications,Not sure,Not sure,Both integration,Never act without human approval on high-risk tasks
Australia,Under 18,Male,Working Professional,Daily,Routine tasks; organizing notes,Safety-critical tasks,5,3,4,2,2,Data-heavy tasks,Creative judgment,Yes,Familiarity and training,Curious but worried,No,AI handles small tasks only,Protect privacy
Middle Eastern,26â€“60,Female,Working Professional,Weekly,Routine tasks; organizing notes; Exam preparation; flashcards,Legal decisions,3,3,3,5,3,Low-risk tasks,"Needs creativity or intuition, Involves sensitive/personal information",Yes,Transparency (AI explains how it works),Not sure,Not sure,Assist only when asked,Be transparent
